,titles,category
0,상품명 여성 여름 간절기 차이나 브이넥 쉬폰 블라우스 셔,Fashion
1,상품명 꽃무늬 루즈핏 블라우스 하객룩 데이트룩 여성 코디,Fashion
2,상품명 가을 간절기 여성 슬림 레이스 긴팔 블라우스 티셔,Fashion
3,상품명         고퀄 프릴 블라우스,Fashion
4,상품명 여성 스트라이프 셔츠 루즈핏 블라우스,Fashion
5,상품명 오프숄더 프릴 레이스 블라우스 고급 데이트룩 하객,Fashion
6,상품명 여성 가을 간절기 멀티 프린트 블라우스 셔츠,Fashion
7,상품명 여성  색 봄여름 브이넥 칠부 블라우스,Fashion
8,상품명 데일리 반팔블라우스 셔링 레이스넥 여름 블라우스,Fashion
9,상품명 쉬폰블라우스 프릴블라우스 코디 모임 봄 캐쥬얼,Fashion
10,상품명 여성블라우스 신상 쉬폰블라우스 정장 빅사이즈 남,Fashion
11,상품명 프론트 스퀘어 프릴 레이스 자수 블라우스,Fashion
12,상품명 편안한 여성셔츠 쉬폰블라우스 프릴블라우스 겨울,Fashion
13,상품명 바스트 스모크 밴딩 크롭 어깨셔링 프릴 블라우스,Fashion
14,상품명 롱셔츠 셔츠블라우스 프릴블라우스 여성 겨울 남방,Fashion
15,상품명 노카락 넥셔링 시스루 쉬폰 블라우스,Fashion
16,상품명 코디 여성블라우스 루즈핏 사무실 레이스 캐쥬얼 봄,Fashion
17,상품명 오피스룩 여성 여자블라우스 남방 데이트 레이스 봄,Fashion
18,상품명 빅사이즈 정장블라우스 블라우스 프릴블라우스,Fashion
19,상품명 블라우스 겨울 루즈핏 여자셔츠 쉬폰 셔츠코디,Fashion
20,상품명 루즈핏 셔츠블라우스 모임 여자 정장 쉬폰 오버핏,Fashion
21,상품명 신상 블라우스 블라우스코디 편안한 쉬폰블라우스,Fashion
22,상품명 여성 가을 간절기  부소매 스트라이프 셔츠 블라우,Fashion
23,상품명 여성 기본 쉬폰 블라우스 직장인 하객룩 무지  컬러,Fashion
24,상품명 이중카라 프릴 블라우스 브이넥  라인 여유핏 여친,Fashion
25,상품명 여성 기본 소장템 봄 가을 쉬폰 블라우스,Fashion
26,상품명 여성셔츠코디 오버핏 여자남방 쉬폰블라우스 신상,Fashion
27,상품명 겨울 프릴블라우스 신상 루즈핏 오피스룩 여자남방,Fashion
28,상품명 레이어드 디자인 하트패턴 블라우스 러블리 원피스,Fashion
29,상품명 코디피셜 퓨어레이디 이중 프릴 에어 긴팔 블라우스,Fashion
30,상품명 여성블라우스 신상 쉬폰블라우스 정장 빅사이즈 남,Fashion
31,상품명 편안한 여성셔츠 쉬폰블라우스 프릴블라우스 겨울,Fashion
32,상품명          여성단추포인트블라우스,Fashion
33,상품명          여자기본긴팔블라우스,Fashion
34,상품명 여자 화이트 브이넥 단추 블라우스 퍼프소매 오피스,Fashion
35,상품명 여자 긴팔 셔츠 블라우스 직장인 데일리 패션 코디,Fashion
36,상품명 롱셔츠 셔츠블라우스 프릴블라우스 여성 겨울 남방,Fashion
37,상품명 코디 여성블라우스 루즈핏 사무실 레이스 캐쥬얼 봄,Fashion
38,상품명 여성 단추 포인트 긴팔 셔츠 블라우스 여자 오피스,Fashion
39,상품명 오피스룩 여성 여자블라우스 남방 데이트 레이스 봄,Fashion
40,상품명 빅사이즈 정장블라우스 블라우스 프릴블라우스,Fashion
41,상품명 블라우스 겨울 루즈핏 여자셔츠 쉬폰 셔츠코디,Fashion
42,상품명 롱블라우스원피스,Fashion
43,상품명 루즈핏 셔츠블라우스 모임 여자 정장 쉬폰 오버핏,Fashion
44,상품명 신상 블라우스 블라우스코디 편안한 쉬폰블라우스,Fashion
45,상품명 겨울 쉬폰 여성블라우스 정장 오피스룩 여자옷코디,Fashion
46,상품명 여성셔츠코디 오버핏 여자남방 쉬폰블라우스 신상,Fashion
47,상품명 겨울 프릴블라우스 신상 루즈핏 오피스룩 여자남방,Fashion
48,상품명 여성 봄 핑크 프린트 블라우스 스커트 투피스 세트,Fashion
49,상품명 여성 가을 겨울 슬림 얇은 블라우스 진주 니트,Fashion
50,상품명 여성 가을 간절기 레이스 폴리 카라 셔츠 블라우스,Fashion
